file,provider,model,status,latency_seconds,reference,transcript,wer,cer,error
child_voice.mp3,OpenAI,gpt-4o-transcribe,ok,2.06,,مرحبا، أنا اسمي أحمد.,,,
child_voice.mp3,Cohere,cohere-transcribe-03-2026,ok,0.5807,,مرحباً. أنا إسمي أحمد.,,,
child_voice_16k.wav,Cohere,cohere-transcribe-03-2026,ok,0.5118,,مرحباً. أنا إسمي أحمد.,,,
child_voice_16k.wav,OpenAI,gpt-4o-transcribe,ok,1.3239,,مرحبا، أنا اسمي أحمد.,,,
distressed_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,1.9224,,بس عملتها هيف، عندي القصف كل ليلة.,,,
distressed_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,0.6566,,انبسها من الكوابيس عن القصف كل ليله,,,
distressed_test.mp3,Cohere,cohere-transcribe-03-2026,ok,0.5225,,بصها من الكوابيس عن القصف كل ليلة.,,,
distressed_test.mp3,OpenAI,gpt-4o-transcribe,ok,0.747,,بس ها من فابيز عن القصف كله ليه؟,,,
high_risk_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,1.5641,,ديشويش طيبب كتير.,,,
high_risk_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,0.8071,,بديش عايش تعبت كتير نفسي اموت,,,
high_risk_test.mp3,Cohere,cohere-transcribe-03-2026,ok,0.4777,,بديش عايش تعبت كثير نفسي اموت,,,
high_risk_test.mp3,OpenAI,gpt-4o-transcribe,ok,1.1351,,በእንዲሻንይሽ ታይበት ክትዬር ምስረሙት።,,,
safe_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,1.478,,اليوم لعبت مع أصحابي، كنت مبسوط كتير.,,,
safe_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,0.5325,,اليوم لعبت مع اصحابي كنت مبسوط كتير,,,
safe_test.mp3,Cohere,cohere-transcribe-03-2026,ok,0.4811,,اليوم لعبت مع اصحابي وكنت مبسوط كثير,,,
safe_test.mp3,OpenAI,gpt-4o-transcribe,ok,0.7536,,اليوم لعبت مع أصحابي وتمبسطت كتير.,,,
unclear_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,2.5247,,مش عارف يعني ممكن.,,,
unclear_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,0.653,,مش عارف يعني ممكن ... على حسب يعني ...,,,
unclear_test.mp3,Cohere,cohere-transcribe-03-2026,ok,0.5242,,تمام مش عارف يعني ممكن,,,
unclear_test.mp3,OpenAI,gpt-4o-transcribe,ok,1.2313,,تمام، مش عارف يعني ممكن.,,,
