id,text,true_label,pred_label,true_risk_signal,pred_risk_signal,confidence,needs_review,review_notes
unseen_003,بحب أرسم مناظر طبيعية، الأسبوع الجاي رح أعمل لوحة جديدة,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Hobby engagement + future planning. Tests creative future orientation.
unseen_004,تعلمت كلمة جديدة بالانجليزي اليوم، 'butterfly' يعني فراشة,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Code-switching + learning achievement. Tests Arabic-English mix.
unseen_005,خلصت واجباتي بسرعة وقعدت ألعب على الجوال,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,"Normal daily routine, no lexicon-matching keywords."
unseen_006,تيتا حكتلي قصة قبل النوم، كنت حابب اسمعها كتير,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Bedtime routine + grandparent bond. Note: 'تيتا' instead of 'جدّة'.
unseen_007,صحبتي رنا جابت معها كتاب جديد وقرأناه سوا بالفسحة,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Peer engagement + reading. No keyword match expected.
unseen_008,كنت زعلانة شوي من أختي بس بعدين صالحناها على الشوكولاتة,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,"Emotional resolution arc, female speaker variant."
unseen_009,بابا وعدني لما يخلص شغله يلعب معي تنس طاولة,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Anticipation + parental connection.
unseen_010,بقدر أعد لعشرة بالانجليزي هلأ، حفظت الأرقام كلها,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Achievement + pride. No direct lexicon match.
unseen_013,بحب القطط كتير، عندنا قطة اسمها مشمش بتيجي تنام جنبي,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Pet attachment + positive affect.
unseen_014,رحت اليوم مع خالتي على السوق وجابتلي تيشيرت أحمر,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Outing + gift from relative.
unseen_015,خايف شوي من الامتحان بكرا بس راجعت كتير,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Functional fear + coping. Tests Safe boundary against Distressed.
unseen_017,بدي أكبر بسرعة عشان أصير دكتورة أساعد المرضى,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Future aspiration + prosocial motivation.
unseen_018,عيد ميلادي قرّب وماما رح تعمل كيكة الفراولة اللي بحبها,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Birthday anticipation + parental warmth.
unseen_020,افتكرت اليوم ضحكة جدي وحسيت بطمأنينة,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Comforting memory (no death framing). Boundary case — could be confused with grief.
unseen_022,نمت كويس بالليل وصحيت نشيطة على رائحة القهوة,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Restful sleep — explicit contrast to insomnia. Tests sleep boundary.
unseen_023,اشتقت لجدتي بس أمي حكتلي إنه رح نزورها يوم الخميس,Safe / Regulated,Distressed / Needs Support,none,unresolved_grief,0.7,False,"Mild longing with resolution. Tests grief boundary — alive grandmother, not deceased."
unseen_024,في المدرسة بحب حصة الفن أكتر من باقي الحصص,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,School preference + interest.
unseen_025,بصراحة الحياة هون أفضل من قبل، صار عندي أصحاب جداد,Safe / Regulated,Unclear / Need More Context,none,minimal_response,0.5,True,Adjustment to displacement + social rebuilding. Tests positive adaptation.
