file,provider,model,status,runs,latency_seconds,latency_stdev,reference,transcript,wer,cer,error
child_voice.mp3,OpenAI,gpt-4o-transcribe,ok,3,2.2804,1.8522,مرحبا أنا اسمي أحمد,مرحبا، أنا اسمي أحمد.,0.25,0.0625,
child_voice.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.6798,0.1626,مرحبا أنا اسمي أحمد,مرحباً. أنا إسمي أحمد.,0.0,0.0,
child_voice.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.1885,0.1448,مرحبا أنا اسمي أحمد,مرحباً أنا اسمي أحمد.,0.0,0.0,
child_voice_16k.wav,OpenAI,gpt-4o-transcribe,ok,3,1.6692,0.2576,مرحبا أنا اسمي أحمد,مرحبا، أنا اسمي أحمد.,0.25,0.0625,
child_voice_16k.wav,Cohere,cohere-transcribe-03-2026,ok,3,0.5806,0.0577,مرحبا أنا اسمي أحمد,مرحباً. أنا إسمي أحمد.,0.0,0.0,
child_voice_16k.wav,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.0581,0.0401,مرحبا أنا اسمي أحمد,مرحباً. أنا اسمي أحمد.,0.0,0.0,
distressed_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,3,4.5283,4.474,بصحى من الكوابيس عن القصف كل ليلة,بس عملتها هيف، عندي القصف كل ليلة.,0.5714,0.4444,
distressed_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.8123,0.2601,بصحى من الكوابيس عن القصف كل ليلة,انبسها من الكوابيس عن القصف كل ليله,0.1429,0.1852,
distressed_emotion.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.3874,0.0997,بصحى من الكوابيس عن القصف كل ليلة,بصحى من الكوابيس عن القصف كل ليلة.,0.0,0.0,
distressed_test.mp3,OpenAI,gpt-4o-transcribe,ok,3,1.2025,0.5579,بصحى من الكوابيس عن القصف كل ليلة,بسام انت عايز عن القصف كله ليه؟,0.7143,0.4444,
distressed_test.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.5608,0.0564,بصحى من الكوابيس عن القصف كل ليلة,بصها من الكوابيس عن القصف كل ليلة.,0.1429,0.0741,
distressed_test.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.2565,0.0823,بصحى من الكوابيس عن القصف كل ليلة,بصحى من الكوابيس عن القصف كل ليلة,0.0,0.0,
high_risk_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,3,1.7204,0.338,بديش أعيش تعبت كثير نفسي أموت,ديشويش طيب كتير.,1.0,0.625,
high_risk_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.9218,0.1023,بديش أعيش تعبت كثير نفسي أموت,بديش عايش تعبت كتير نفسي اموت,0.3333,0.125,
high_risk_emotion.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.6955,0.1149,بديش أعيش تعبت كثير نفسي أموت,بديش اعيش؟ تعبت كتييير نفسي اموت,0.3333,0.1667,
high_risk_test.mp3,OpenAI,gpt-4o-transcribe,ok,3,1.2966,0.1177,بديش أعيش تعبت كثير نفسي أموت,በእንዲሻንይሽ ታይበት ክትዮ ሊሰወም ነው።,1.0,1.0,
high_risk_test.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.545,0.0585,بديش أعيش تعبت كثير نفسي أموت,بديش عيش تعبت كثير نفسي اموت,0.1667,0.0417,
high_risk_test.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.3361,0.032,بديش أعيش تعبت كثير نفسي أموت,بديش أعيش، تعبت كثير نفسي أموت,0.1667,0.0417,
safe_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,3,1.008,0.0356,اليوم لعبت مع أصحابي كنت مبسوط كثير,اليوم لعبت مع أصحابي، كنت مبسوط كتير.,0.2857,0.069,
safe_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.6477,0.0581,اليوم لعبت مع أصحابي كنت مبسوط كثير,اليوم لعبت مع اصحابي كنت مبسوط كتير,0.1429,0.0345,
safe_emotion.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.5568,0.0282,اليوم لعبت مع أصحابي كنت مبسوط كثير,اليوم اللي لعبت مع صحابي كنت مبسوط كتيييير,0.4286,0.3103,
safe_test.mp3,OpenAI,gpt-4o-transcribe,ok,3,1.1969,0.3861,اليوم لعبت مع أصحابي وكنت مبسوط كثير,اليوم لعبت مع أصحابي وتمبسطت كتير.,0.4286,0.1667,
safe_test.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.5117,0.0014,اليوم لعبت مع أصحابي وكنت مبسوط كثير,اليوم لعبت مع اصحابي وكنت مبسوط كثير,0.0,0.0,
safe_test.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.4616,0.1069,اليوم لعبت مع أصحابي وكنت مبسوط كثير,اليوم لعبت مع صحابي وكنت مبسوط كتير,0.2857,0.0667,
unclear_emotion.mp3,OpenAI,gpt-4o-transcribe,ok,3,1.0531,0.2951,مش عارف يعني ممكن على حسب,مش عارف يعني ممكن.,0.3333,0.3,
unclear_emotion.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.9213,0.0999,مش عارف يعني ممكن على حسب,مش عارف يعني ممكن ... على حسب يعني ...,0.1667,0.2,
unclear_emotion.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.6121,0.2304,مش عارف يعني ممكن على حسب,مش عارف... يعني ممكن على حسب يعني,0.1667,0.2,
unclear_test.mp3,OpenAI,gpt-4o-transcribe,ok,3,1.9936,1.0928,تمام مش عارف يعني ممكن,تمام، مش عارف يعني ممكن.,0.2,0.0556,
unclear_test.mp3,Cohere,cohere-transcribe-03-2026,ok,3,0.5461,0.0113,تمام مش عارف يعني ممكن,تمام مش عارف يعني ممكن,0.0,0.0,
unclear_test.mp3,CohereArabicLocal,cohere-transcribe-arabic-07-2026,ok,3,2.226,0.0492,تمام مش عارف يعني ممكن,تمام، مش عارف يعني، ممكن,0.4,0.1111,
